檔案,編號,欄位,類型,官方原始,現役
113四中.csv,14-20,標音,tone-anomaly,hi ˋ vugˋ,hi ˋ vùg
113四中.csv,4-157,例句,content-diff,老弟一床就嘴擘擘討飯食。,老弟一䟘床就嘴擘擘討飯食。
113四中.csv,4-159,例句,content-diff,佢對棚頂種下來，跌到（跌啊）當（蓋）傷重。,佢對棚頂種下來，跌到（跌啊）當（蓋）<ruby>傷重<rt>sóngdong</rt></ruby>。
113四中.csv,4-18,例句,content-diff,這菜傍飯食，做得划三碗飯。,這菜傍飯食，做得<ruby>划<rt>pǎ</rt></ruby>三碗飯。
113四中.csv,6-12,例句,content-diff,樹林著火哩（吔），樹仔做下（聚概）燒淨淨。,樹林著火哩（吔），樹仔做下（<ruby>聚概<rt>qiùgkòi</rt></ruby>）燒淨淨。
113四中.csv,8-42,例句,content-diff,蝲織網來捉蟲仔。三日打魚，四日晒網。,蝲䗁織網來捉蟲仔。<br>三日打魚，四日晒網。
113四中.csv,9-229,例句,content-diff,佢兩姊嫂長透意見相反。,佢兩<ruby>姊<rt>zìi</rt></ruby>嫂長透意見相反。
113四中高.csv,(header),欄位,header-diff,"編號,客家語,標音,詞義例句合併,翻譯,備註,詞性1,詞性2,分類","編號,客家語,標音,詞義,例句,翻譯,備註,詞性1,詞性2,分類"
113四中高.csv,1-57,翻譯,content-diff,痛得直發抖、抽搐。嚇得直發抖。,痛得直發抖、抽搐。
113四中高.csv,1-57,備註,content-diff,,嚇得直發抖。
113四中高.csv,1-57,詞性1,content-diff,動詞,
113四中高.csv,1-57,詞性2,content-diff,,動詞
113四中高.csv,1-57,分類,content-diff,1人體與醫療,
113四中高.csv,11-125,詞義例句合併,split-anomaly,是說分不到一杯羹，叫一叫，過過乾癮也甘心。或比喻多管閒事，例如「人食大麵你喊燒」。,是說分不到一杯羹，叫一叫，過過乾癮也甘心。或比喻多管閒事，例如「人食大麵你喊燒」。 ‖ 別人吃麵你在喊燙。
113四中高.csv,11-125,翻譯,content-diff,別人吃麵你在喊燙。,
113四中高.csv,11-125,備註,content-diff,,動詞
113四中高.csv,11-125,詞性1,content-diff,動詞,
113四中高.csv,11-125,詞性2,content-diff,,11社會關係與行為
113四中高.csv,11-125,分類,content-diff,11社會關係與行為,
113四中高.csv,11-225,詞義例句合併,split-anomaly,偷偷藏錢。例如：阿爸偷錢想愛買菸，分阿姆發現。,偷偷藏錢。 ‖ 例如：阿爸偷㘝錢想愛買菸，分阿姆發現。
113四中高.csv,11-255,詞義例句合併,split-anomaly,使用東西很節儉的樣子。如「省省仔食」、「省省仔用」例如：糖仔恁多仔定定，你斯愛省省仔食。,"使用東西很節儉的樣子。 ‖ 如「省省仔食」、「省省仔用」<br>例如：糖仔恁多仔定定，你斯愛省省仔食。"""
113四中高.csv,11-342,詞義例句合併,split-anomaly,帶頭。例如「佢牽頭湊（邀）大家去食晝」。,帶頭 ‖ 例如「佢牽頭湊（邀）大家去食晝」。
113四中高.csv,16-18,詞義例句合併,split-anomaly,直接用手抓一束物品。如「一抓禾稈」、「一抓麵線」。,"直接用手抓一束物品。,如「一抓禾稈」、「一抓麵線」。 ‖ "
113四中高.csv,16-4,詞義例句合併,split-anomaly,座（量詞），如「三座屋」。,座（量詞） ‖ 如「三座屋」。
113四中高.csv,17-108,翻譯,content-diff,去市場買雞。跟人家抱小狗回來養。,去市場買雞。
113四中高.csv,17-108,備註,content-diff,,跟人家抱小狗回來養。
113四中高.csv,17-108,詞性1,content-diff,動詞,
113四中高.csv,17-108,詞性2,content-diff,,動詞
113四中高.csv,17-108,分類,content-diff,17職業與經濟,
113四中高.csv,4-156,詞義例句合併,split-anomaly,染，如「染頭那毛」、「染紅卵」。,染 ‖ 如「染頭那毛」、「染紅卵」。
113四中高.csv,4-192,詞義例句合併,split-anomaly,跳躍，例如「躍上躍下」、「躍往上」。,跳躍 ‖ 例如「躍上躍下」、「躍往上」。
113四中高.csv,4-24,詞義例句合併,split-anomaly,抽動、顫抖，例如「掣一下」、「痛到緊掣」。,抽動、顫抖，例如「掣一下」、「痛到緊掣」。 ‖ 抽動一下。
113四中高.csv,4-24,翻譯,content-diff,抽動一下。痛得直發抖。,痛得直發抖。
113四中高.csv,4-25,詞義例句合併,split-anomaly,觸電，例「分電掣著（電著）」。,觸電，例「分電掣著（電著）」。 ‖ 被電電到。
113四中高.csv,4-25,翻譯,content-diff,被電電到。,
113四中高.csv,4-25,備註,content-diff,,動詞
113四中高.csv,4-25,詞性1,content-diff,動詞,
113四中高.csv,4-25,詞性2,content-diff,,4外在活動與動作
113四中高.csv,4-25,分類,content-diff,4外在活動與動作,
113四中高.csv,4-90,詞義例句合併,split-anomaly,拱起來，例如「背囊拱起來」。,拱起來，例如「背囊拱起來」。 ‖ 背拱起來。
113四中高.csv,4-90,翻譯,content-diff,背拱起來。,
113四中高.csv,4-90,備註,content-diff,,動詞
