Traceback (most recent call last):
  File "<frozen runpy>", line 198, in _run_module_as_main
  File "<frozen runpy>", line 88, in _run_code
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/http/server.py", line 1314, in <module>
    test(
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/http/server.py", line 1261, in test
    with ServerClass(addr, HandlerClass) as httpd:
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/socketserver.py", line 457, in __init__
    self.server_bind()
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/http/server.py", line 1308, in server_bind
    return super().server_bind()
           ^^^^^^^^^^^^^^^^^^^^^
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/http/server.py", line 136, in server_bind
    socketserver.TCPServer.server_bind(self)
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/socketserver.py", line 478, in server_bind
    self.socket.bind(self.server_address)
OSError: [Errno 98] Address already in use
127.0.0.1 - - [27/Jan/2026 06:31:57] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /img/avatar.png HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /main.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /js/romanizer.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /js/supabase-config.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /js/cloud-sync.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/data_version.json?cachebust=1769495518348 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%9B%9B%E5%88%9D.json?cachebust=1769495518584 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%9B%9B%E5%9F%BA.json?cachebust=1769495518584 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%9B%9B%E9%AB%98.json?cachebust=1769495518585 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E6%B5%B7%E5%9F%BA.json?cachebust=1769495518585 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%9B%9B%E4%B8%AD%E9%AB%98.json?cachebust=1769495518585 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%9B%9B%E4%B8%AD.json?cachebust=1769495518585 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E6%B5%B7%E5%88%9D.json?cachebust=1769495518587 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E6%B5%B7%E4%B8%AD.json?cachebust=1769495518588 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E6%B5%B7%E4%B8%AD%E9%AB%98.json?cachebust=1769495518588 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E6%B5%B7%E9%AB%98.json?cachebust=1769495518589 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%A4%A7%E5%9F%BA.json?cachebust=1769495518590 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%A4%A7%E5%88%9D.json?cachebust=1769495518590 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%A4%A7%E4%B8%AD.json?cachebust=1769495518591 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%A4%A7%E4%B8%AD%E9%AB%98.json?cachebust=1769495518592 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%A4%A7%E9%AB%98.json?cachebust=1769495518593 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%B9%B3%E5%9F%BA.json?cachebust=1769495518593 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%B9%B3%E5%88%9D.json?cachebust=1769495518593 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%B9%B3%E4%B8%AD.json?cachebust=1769495518594 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%B9%B3%E4%B8%AD%E9%AB%98.json?cachebust=1769495518594 HTTP/1.1" 200 -
127.0.0.1 - - [27/Jan/2026 06:31:58] "GET /data/cert/113%E5%B9%B3%E9%AB%98.json?cachebust=1769495518595 HTTP/1.1" 200 -
