char,codepoint,file,line,column,entry,context
𠖫,U+205AB,20250630-安.csv,13378,詞目,揞𠖫,揞𠖫
𠗊,U+205CA,20250630-南.csv,16828,相反詞,燒熝熝仔,冷泧泧仔　冷𠗊𠗊仔　冷沁沁仔　冷潑潑仔
𠗊,U+205CA,20250630-四.csv,7896,例句,𠗻人,例：還記得寒天睡目个時節，老弟緊用𠗊冷个腳𠗻人。(還記得冬天睡覺的時候，弟弟一直用冰冷的腳碰人。)
𠗊,U+205CA,20250630-四.csv,16571,相反詞,燒熝熝仔,冷泧泧仔　冷𠗊𠗊仔
𠗊,U+205CA,20250630-大.csv,16059,例句,摀人,例：還記得寒天睡目个時節，老弟緊用𠗊冷个腳摀人。(（還記得冬天睡覺的時候，弟弟一直用冰冷的腳碰人。）)
𠗊,U+205CA,20250630-平.csv,7878,例句,𠗻人,例：還記得寒天睡个時節，老弟緊用𠗊冷个腳𠗻人。(還記得冬天睡覺的時候，弟弟一直用冰冷的腳碰人。)
𠗊,U+205CA,20250630-平.csv,13284,相反詞,燒熝熝,冷泧泧　冷𠗊𠗊
𠘆,U+20606,113四高.csv,745,四縣客家語,牙狌狌仔【牙𠘆𠘆】,牙狌狌仔【牙𠘆𠘆】
𠘆,U+20606,20250630-四.csv,12700,例句,縫仔,例：烏𪐞𠘆个天時，冷風對窗門个縫仔項鑽入來，寒到人恄恄顫。(酷寒的天氣，寒冷風從窗戶的縫隙中鑽了進來，令人冷到打哆嗦。)
𠘆,U+20606,20250630-大.csv,12254,例句,縫,例：暴線縫。 例：烏𪐞𠘆个天時，冷風對窗門个縫鑽入來，寒都人激激顫。(（酷寒的天氣，寒冷風從窗戶的縫隙中鑽了進來，令人冷得打哆嗦。）)
𠘆,U+20606,20250630-平.csv,12604,例句,縫仔,例：烏𪐞𠘆个天時，冷風對窗門个縫仔鑽入來，寒到人激激顫。(酷寒的天氣，寒冷風從窗戶的縫隙中鑽了進來，冷到令人打哆嗦。)
𠜖,U+20716,20250630-安.csv,3857,例句,對破,例：醃瓜愛先對破，拁籽𠜖莫，正挲鹽來滷。(越瓜要先對半剖開，把種子刮除，再抹鹽醃漬。) 例：做菜包个時，糯米佮秥米對破，驚會忒軟、忒黏喔！(做菜包時，糯米和在來米對半調配，可能會太軟、太黏喔！)
𠠫,U+2082B,113海高.csv,1095,海陸客家語,絲芋荷（𠠫芋荷）,絲芋荷（𠠫芋荷）
𠭴,U+20B74,20250630-四.csv,16468,相似詞,重鈂鈂仔,重跕跕仔　𠭴頭𠭴頭
𠭴,U+20B74,20250630-平.csv,16374,相似詞,重鈂鈂仔,重跕跕仔　𠭴頭𠭴頭
𠭴,U+20B74,20250630-海.csv,6287,相似詞,重鈂鈂,重跕跕仔　𠭴頭𠭴頭　重魁魁
𠰌,U+20C0C,20250630-四.csv,15692,例句,汁,例：汁水（餿水）、米汁水(（洗米水）) 例：暖汁（煮豬食）、臭汁𠰌(（豬食的臭味）) 例：目汁(（眼淚）) 例：果汁（水果的汁液）、芹菜汁(（芹菜的汁液）)
𡮢,U+21BA2,20250630-四.csv,5002,例句,挨生挨死,例：戰國時代个越王句踐臥薪𡮢膽，挨生挨死，就全全係為著報仇救國家。(（戰國時代的越王句踐臥薪𡮢膽，隱忍苟活，全都是為了報仇救國家。）)
𢛟,U+226DF,113四高.csv,314,四縣客家語,𢛟落落仔,𢛟落落仔
𢛟,U+226DF,113四高.csv,314,例句,𢛟落落仔,例如：聽著恁好个課長分人辭頭路，全課个人就𢛟落落仔無想做哩。
𢛟,U+226DF,113平高.csv,311,饒平客家語,𢛟落落仔,𢛟落落仔
𢛟,U+226DF,113平高.csv,311,例句,𢛟落落仔,例如：聽著恁好个課長分人辭頭路，全課个人就𢛟落落仔無想做咧。
𢛟,U+226DF,113海高.csv,313,海陸客家語,𢛟落落仔,𢛟落落仔
𢛟,U+226DF,113海高.csv,313,例句,𢛟落落仔,例如：聽著恁好个課長分人辭頭路，全課个人就𢛟落落仔無想做咧。
𢜳,U+22733,113四高.csv,322,四縣客家語,譴𢜳𢜳仔（譴腸閼胗）,譴𢜳𢜳仔（譴腸閼胗）
𢜳,U+22733,113四高.csv,322,例句,譴𢜳𢜳仔（譴腸閼胗）,例如：佢啊，異毋受人講，動啊著就譴𢜳𢜳仔掣等走。
𢜳,U+22733,113大高.csv,316,大埔客家語,譴𢜳𢜳（譴心閼肝）,譴𢜳𢜳（譴心閼肝）
𢜳,U+22733,113大高.csv,316,例句,譴𢜳𢜳（譴心閼肝）,例如：佢啊，已毋受人講，動啊著斯譴𢜳𢜳掣緊走。
𢜳,U+22733,20250630-南.csv,17761,例句,譴,例：譴啊食毋落（氣得吃不下）、發譴(生氣) 例：譴膣扡胲（喻非常生氣）、譴𢜳𢜳仔(很生氣的樣子)
𢜳,U+22733,20250630-四.csv,2733,相似詞,面臭臭仔,面挷挷仔　面北北仔　面爪爪仔　面𢜳𢜳仔
𢜳,U+22733,20250630-四.csv,4906,相反詞,歡頭笑面,面臭臭仔　面北北仔　譴𢜳𢜳仔
𢜳,U+22733,20250630-四.csv,16575,相反詞,笑咪咪仔,譴𢜳𢜳仔額結結仔面北北仔面𢜳𢜳仔面挷挷仔面臭臭仔
𢜳,U+22733,20250630-四.csv,17550,例句,譴,例：譴到食無落(氣得吃不下) 例：譴粄（「湯粢」的又稱）、譴𢜳𢜳仔(很生氣的樣子)
𢜳,U+22733,20250630-平.csv,2676,相似詞,面臭臭仔,面挷挷仔　面北北仔　面爪爪仔　面𢜳𢜳仔
𢫫,U+22AEB,113安高.csv,884,詔安客家語,𢫫㿸,𢫫㿸
𢫫,U+22AEB,113安高.csv,884,例句,𢫫㿸,例如：洗浴愛用面帕𢫫㿸，正洗會淨俐。
𢫫,U+22AEB,113安高.csv,960,詔安客家語,𢫫豬腸,𢫫豬腸
𢫫,U+22AEB,113安高.csv,960,例句,𢫫豬腸,例如：炒豬腸進前，討先𢫫豬腸，正揙轉來洗淨。
𢫫,U+22AEB,20250630-安.csv,1310,例句,生㿸,例：你耳背生㿸啊，洗面个時愛順續𢫫淨俐。(你的耳背長汙垢了，洗臉時要順便搓乾淨。)
𢫫,U+22AEB,20250630-安.csv,13594,詞目,𢫫㿸,𢫫㿸
𢫫,U+22AEB,20250630-安.csv,16461,詞目,㓾雞𢫫鴨,㓾雞𢫫鴨
𢫫,U+22AEB,20250630-安.csv,16461,例句,㓾雞𢫫鴨,例：成過人過年過節㓾雞𢫫鴨，真無閒，這下人買買个就好啊！(以前人逢年過節殺雞殺鴨，非常忙碌，現代人買一買就好了！)
𢿞,U+22FDE,113安中.csv,1379,詔安客家語,𢿞,𢿞
𢿞,U+22FDE,113安中.csv,1379,詔安例句,𢿞,阿財哥禮拜日割一𢿞豬肉去䀴厥外媽。
𢿞,U+22FDE,113安中高.csv,740,例句,半肥瘦,例「割一𢿞半肥瘦个豬肉」。
𢿞,U+22FDE,113安中高.csv,996,詔安客家語,長𢿞長𢿞,長𢿞長𢿞
𢿞,U+22FDE,113安中高.csv,996,例句,長𢿞長𢿞,例如：這間屋長𢿞長𢿞，係竹笐屋。
𢿞,U+22FDE,113安中高.csv,1324,例句,堵來堵去,例如：一𢿞豬肉定，嘛在遐堵來堵去，否䀴啦。
𣗺,U+235FA,20250630-安.csv,14107,詞目,𣗺瓦,𣗺瓦
𤻤,U+24EE4,20250630-四.csv,9499,例句,瘍癧,阿公想孫仔想到難耐，做阿爸个人閒閒，正經係才仔無恁痛，瘍𤻤較痛。 爺爺想孫子想到難耐，當爸爸的不在乎，真的是皇帝不急，急死太監。
